Airfoil Naca23012
  x  Cp
0.9998 0.5259
0.9990 0.4473
0.9975 0.4002
0.9952 0.3680
0.9921 0.3436
0.9883 0.3236
0.9837 0.3060
0.9783 0.2899
0.9722 0.2748
0.9654 0.2601
0.9579 0.2459
0.9496 0.2321
0.9407 0.2185
0.9311 0.2052
0.9208 0.1923
0.9098 0.1796
0.8983 0.1672
0.8861 0.1551
0.8733 0.1434
0.8599 0.1320
0.8460 0.1208
0.8316 0.1100
0.8166 0.0994
0.8012 0.0891
0.7852 0.0791
0.7689 0.0693
0.7521 0.0598
0.7349 0.0504
0.7174 0.0412
0.6995 0.0322
0.6814 0.0234
0.6629 0.0147
0.6442 0.0062
0.6253 -0.0022
0.6061 -0.0104
0.5869 -0.0185
0.5674 -0.0265
0.5479 -0.0343
0.5283 -0.0419
0.5087 -0.0493
0.4890 -0.0565
0.4694 -0.0635
0.4498 -0.0701
0.4303 -0.0764
0.4108 -0.0823
0.3916 -0.0877
0.3725 -0.0925
0.3536 -0.0967
0.3349 -0.1002
0.3165 -0.1029
0.2983 -0.1045
0.2805 -0.1050
0.2630 -0.1041
0.2459 -0.1016
0.2292 -0.0970
0.2129 -0.0897
0.1970 -0.0781
0.1818 -0.0625
0.1673 -0.0451
0.1534 -0.0281
0.1402 -0.0124
0.1276 0.0011
0.1156 0.0123
0.1042 0.0208
0.0934 0.0266
0.0832 0.0298
0.0736 0.0306
0.0645 0.0293
0.0559 0.0266
0.0479 0.0235
0.0405 0.0215
0.0336 0.0229
0.0273 0.0315
0.0216 0.0532
0.0164 0.0966
0.0119 0.1739
0.0081 0.2998
0.0049 0.4832
0.0025 0.7080
0.0007 0.9108
-0.0003 0.9998
-0.0005 0.9255
0.0001 0.7206
0.0015 0.4624
0.0038 0.2094
0.0070 -0.0141
0.0110 -0.2043
0.0160 -0.3646
0.0218 -0.4996
0.0285 -0.6133
0.0361 -0.7082
0.0445 -0.7862
0.0538 -0.8482
0.0639 -0.8949
0.0747 -0.9269
0.0863 -0.9450
0.0986 -0.9498
0.1116 -0.9425
0.1251 -0.9245
0.1391 -0.8975
0.1537 -0.8634
0.1686 -0.8247
0.1839 -0.7843
0.1995 -0.7466
0.2154 -0.7145
0.2318 -0.6868
0.2485 -0.6616
0.2657 -0.6380
0.2832 -0.6156
0.3010 -0.5941
0.3191 -0.5733
0.3375 -0.5533
0.3562 -0.5338
0.3751 -0.5149
0.3942 -0.4965
0.4134 -0.4785
0.4328 -0.4611
0.4522 -0.4441
0.4718 -0.4275
0.4914 -0.4114
0.5110 -0.3957
0.5306 -0.3803
0.5501 -0.3654
0.5696 -0.3508
0.5889 -0.3366
0.6081 -0.3227
0.6272 -0.3092
0.6460 -0.2958
0.6647 -0.2827
0.6830 -0.2699
0.7011 -0.2572
0.7189 -0.2446
0.7364 -0.2321
0.7535 -0.2196
0.7702 -0.2071
0.7864 -0.1945
0.8023 -0.1818
0.8177 -0.1688
0.8325 -0.1556
0.8469 -0.1420
0.8608 -0.1279
0.8741 -0.1133
0.8868 -0.0980
0.8989 -0.0819
0.9104 -0.0648
0.9213 -0.0465
0.9315 -0.0269
0.9411 -0.0058
0.9499 0.0171
0.9581 0.0420
0.9656 0.0692
0.9724 0.0990
0.9784 0.1315
0.9838 0.1671
0.9883 0.2061
0.9921 0.2488
0.9952 0.2961
0.9975 0.3497
0.9990 0.4138
0.9998 0.4973

Airfoil Naca23012
  x  Cp
1.1485 0.5432
1.1484 0.4680
1.1482 0.4194
1.1480 0.3844
1.1477 0.3571
1.1473 0.3349
1.1468 0.3161
1.1463 0.3001
1.1457 0.2861
1.1450 0.2738
1.1442 0.2629
1.1434 0.2531
1.1425 0.2444
1.1416 0.2367
1.1405 0.2297
1.1394 0.2234
1.1383 0.2179
1.1370 0.2129
1.1358 0.2085
1.1344 0.2046
1.1330 0.2012
1.1316 0.1983
1.1301 0.1957
1.1285 0.1936
1.1269 0.1919
1.1253 0.1905
1.1236 0.1894
1.1219 0.1887
1.1202 0.1882
1.1184 0.1881
1.1166 0.1882
1.1147 0.1887
1.1129 0.1894
1.1110 0.1904
1.1091 0.1918
1.1071 0.1934
1.1052 0.1954
1.1033 0.1977
1.1013 0.2005
1.0994 0.2036
1.0974 0.2071
1.0955 0.2112
1.0935 0.2158
1.0916 0.2209
1.0897 0.2267
1.0878 0.2332
1.0859 0.2405
1.0840 0.2486
1.0822 0.2576
1.0804 0.2677
1.0786 0.2790
1.0769 0.2914
1.0751 0.3054
1.0735 0.3209
1.0718 0.3383
1.0703 0.3580
1.0687 0.3811
1.0672 0.4065
1.0658 0.4325
1.0645 0.4581
1.0632 0.4831
1.0620 0.5072
1.0608 0.5307
1.0597 0.5536
1.0587 0.5763
1.0577 0.5992
1.0568 0.6230
1.0559 0.6481
1.0551 0.6756
1.0543 0.7062
1.0536 0.7412
1.0530 0.7814
1.0524 0.8278
1.0518 0.8798
1.0514 0.9343
1.0510 0.9816
1.0506 0.9994
1.0504 0.9449
1.0502 0.7571
1.0500 0.3895
1.0500 -0.1319
1.0500 -0.6960
1.0502 -1.1571
1.0504 -1.4594
1.0507 -1.6293
1.0511 -1.7144
1.0515 -1.7519
1.0521 -1.7639
1.0527 -1.7622
1.0535 -1.7520
1.0543 -1.7353
1.0552 -1.7125
1.0562 -1.6833
1.0572 -1.6470
1.0584 -1.6033
1.0596 -1.5521
1.0608 -1.4935
1.0621 -1.4283
1.0635 -1.3575
1.0649 -1.2826
1.0664 -1.2054
1.0679 -1.1281
1.0694 -1.0536
1.0709 -0.9871
1.0725 -0.9302
1.0741 -0.8799
1.0758 -0.8340
1.0775 -0.7914
1.0792 -0.7514
1.0810 -0.7136
1.0827 -0.6777
1.0845 -0.6435
1.0864 -0.6108
1.0882 -0.5793
1.0901 -0.5492
1.0919 -0.5201
1.0938 -0.4921
1.0957 -0.4650
1.0976 -0.4389
1.0995 -0.4136
1.1014 -0.3892
1.1033 -0.3655
1.1052 -0.3425
1.1071 -0.3201
1.1090 -0.2984
1.1108 -0.2773
1.1127 -0.2567
1.1145 -0.2366
1.1163 -0.2169
1.1180 -0.1976
1.1198 -0.1786
1.1215 -0.1600
1.1232 -0.1416
1.1248 -0.1235
1.1264 -0.1055
1.1280 -0.0877
1.1295 -0.0699
1.1310 -0.0522
1.1324 -0.0345
1.1338 -0.0168
1.1351 0.0011
1.1364 0.0190
1.1376 0.0372
1.1388 0.0555
1.1399 0.0742
1.1409 0.0931
1.1419 0.1125
1.1428 0.1324
1.1437 0.1528
1.1445 0.1739
1.1452 0.1958
1.1458 0.2188
1.1464 0.2430
1.1469 0.2688
1.1474 0.2968
1.1477 0.3278
1.1480 0.3630
1.1482 0.4049
1.1484 0.4588
1.1485 0.5355

